Year,Month,Day,Accident Name,Train Name,Location,State,Accident Rail Zone,Accident Type,Standard Accident Type,Cause,Deaths,Injuries,Rescue Time (hrs),Reforms/Changes,Standard Cause Type
1902,September,12,Bombay-Madras Mail Derailment,Bombay-Madras Mail,"Near Mangapatnam, Kadapa District",Andhra Pradesh,South Central,Derailment,Derailment,Structural failure on bridge,100,138,4,Enhanced bridge inspections,Weather Conditions
1907,October,24,Kot Lakhpat Train Collision,Passenger & Freight,Kot Lakhpat Station,Gujarat,North Western,Collision,Collision,Signal miscommunication,11,27,7,Improved signal communication systems,Technical Fault
1908,December,2,Barara Train Collision,Mail Trains,Barara Station,Haryana,Northern,Collision,Collision,Human error,22,24,7,Stricter rules for train dispatching,Technical Fault
1920,April,27,Doon Express Train Collision,Doon Express & Goods Train,Near Moradabad,Uttar Pradesh,Northern,Collision,Collision,Signal failure,120,50,7,Improved signal maintenance,Technical Fault
1920,October,7,Madras-Bangalore Mail Derailment,Madras-Bangalore Mail,3 km past Arakkonam,Tamil Nadu,Southern,Derailment,Derailment,Track fracture,40,64,7,Enhanced track monitoring,Weather Conditions
1937,July,17,Upper India Express Derailment,Upper India Express,"Near Bihta Station, Patna",Bihar,East Central,Derailment,Derailment,Excessive speed,119,180,7,Speed limits enforced on embankments,Weather Conditions
1942,October,4,Frontier Mail Accident,Frontier Mail,64 km NE of Bombay (Mumbai),Maharashtra,Central,Derailment,Derailment,Sabotage/Sabotage-related,12,40,7,Strengthened security on railways,Weather Conditions
1950,April,12,Kumaon Express Derailment,Kumaon Express,Crashed into a river,Uttarakhand,Northern,Derailment,Derailment,Track failure,50,29,7,Enhanced bridge maintenance,Weather Conditions
1950,May,7,Bihar Train Bridge Collapse,Unknown,Bihar,Bihar,East Central,Derailment,Derailment,Bridge collapse,81,100,5,New bridge safety protocols,Weather Conditions
1951,September,3,Sharanpur Express Derailment,Sharanpur Express,18 km from Delhi,Delhi,Northern,Derailment,Derailment,Unknown,10,30,7,Stricter maintenance checks,Weather Conditions
1953,June,23,Sempaore-Kalihar Train Collision,Passenger & Freight Train,Between Sempaore and Kalihar,Bihar,East Central,Collision,Collision,Signal miscommunication,5,50,3,Improved signal communication,Technical Fault
1954,January,4,Bhatinda Bridge Derailment,Passenger Train,Near Bhatinda,Punjab,Northern,Derailment,Derailment,Structural failure,15,40,7,Improved bridge inspection,Weather Conditions
1954,March,31,Gorakhpur Explosive Train Accident,Passenger Train,Near Gorakhpur,Uttar Pradesh,North Eastern,Explosion,Bombing,Transporting explosives,31,32,7,Restrictions on explosive transport,Sabotage
1954,September,15,Train-Truck Collision,Unknown,130 km north of New Delhi,Haryana,Northern,Collision,Collision,Truck at crossing,10,18,4,Safety measures at railway crossings,Technical Fault
1954,September,27,319 Down Express Derailment,319 Down Express,Between Jangaon and Raghunathpalli,Telangana,South Central,Derailment,Derailment,Girder bridge failure,136,79,7,Strengthened bridge inspections,Weather Conditions
1954,September,28,Yasanti River Train Crash,Unknown,75 km south of Hyderabad,Telangana,South Central,Derailment,Derailment,Bridge collapse,139,100,7,Strengthened bridge inspections,Weather Conditions
1956,September,2,Mahbubnagar Train Accident,Unknown,Between Jadcherla and Mahbubnagar,Telangana,South Central,Derailment,Derailment,Bridge collapse,125,22,7,Bridge structure improvements,Weather Conditions
1956,November,23,Ariyalur Train Accident,Madras-Tuticorin Express,282 km south of Madras,Tamil Nadu,Southern,Derailment,Derailment,Flood-damaged embankment,104,100,7,Better flood-risk management,Weather Conditions
1957,June,2,Bombay Train Collision,Passenger Train,Bombay,Maharashtra,Central,Collision,Collision,Train running over signal,18,53,7,Stricter signal adherence protocols,Technical Fault
1957,July,23,Tatanagar Train Collision,Gua-Tata & 304 Down Hazaribagh-Ranchi-Howrah Express,Tatanagar,Jharkhand,South Eastern,Collision,Collision,Signal miscommunication,#N/A,#N/A,3,Improved signal systems,Technical Fault
1957,August,19,Janata Express Accident,Janata Express,Between Palasa and Pundi stations,Andhra Pradesh,East Coast,Derailment,Derailment,Track failure,4,9,3,Stricter maintenance protocols,Weather Conditions
